"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"종로구","공원111_누상동 산 1-29(유아숲체험)_검지1","37.5785","126.9630","1","2022-12-01"
"종로구","공원111_누상동 산 1-29(유아숲체험)_메인1","37.5785","126.9630","1","2022-12-01"
"종로구","공원112_누상동 산 1-29(유아숲체험)_메인1","37.5789","126.9626","1","2022-12-01"
"종로구","공원113_숭인동 605_메인","37.5779","127.0205","1","2022-12-01"
"종로구","공원114 숭인동 58-587(숭인근린공원) 검지1","37.5783","127.0176","1","2022-12-01"
"종로구","공원114 숭인동 58-587(숭인근린공원) 검지2","37.5783","127.0176","1","2022-12-01"
"종로구","공원114 숭인동 58-587(숭인근린공원) 메인1","37.5783","127.0176","1","2022-12-01"
"종로구","공원115 창신동 23-362 검지1","37.5781","127.0128","1","2022-12-01"
"종로구","공원115 창신동 23-362 메인1","37.5781","127.0128","1","2022-12-01"
"종로구","문화재002 문묘 대성전 마당(명륜3가 53) 검지20","37.5631","127.0367","1","2022-12-01"
"종로구","문화재002 문묘 동재 앞(명륜3가 53) 검지11","37.5631","127.0367","1","2022-12-01"
"종로구","문화재002 문묘 명륜당정면(외곽)(명륜3가 53) 검지33","37.5631","127.0367","1","2022-12-01"
"종로구","문화재002 문묘 묘정비각(명륜3가 53) 검지3","37.5631","127.0367","1","2022-12-01"
"종로구","문화재002 문묘 비천당 정면(명륜3가 53) 검지16","37.5631","127.0367","1","2022-12-01"
"종로구","문화재002 문묘 서문1(외곽)(명륜3가 53) 검지31","37.5631","127.0367","1","2022-12-01"
"종로구","문화재002 문묘 신삼문 앞(명륜3가 53) 검지5","37.5631","127.0367","1","2022-12-01"
"종로구","문화재002 문묘 진사식당(명륜3가 53) 검지23","37.5631","127.0367","1","2022-12-01"
"종로구","문화재002 문묘 향관청 입구(명륜3가 53) 검지7","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘01 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘02 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘03 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘04 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘05 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘06 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘07 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘08 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘09 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘10 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘11 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘12 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재003 동묘13 (종로구 난계로27길84)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재005 세검정 터1(종로구 세검정로 244)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재005 세검정 터2(종로구 세검정로 244)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재005 황학정(사직동 산 1-11) 검지1","37.5631","127.0367","1","2022-12-01"
"종로구","문화재005 황학정(사직동 산 1-11) 검지2","37.5631","127.0367","1","2022-12-01"
"종로구","문화재005 황학정(사직동 산 1-11) 검지3","37.5631","127.0367","1","2022-12-01"
"종로구","문화재006 창의문1(종로구 청운동산15)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재006 창의문2(종로구 청운동산15)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재006 창의문3(종로구 청운동산15)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재006 창의문4(종로구 청운동산15)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재006 홍지문 탕춘대성1(홍지동 136-3)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재006 홍지문 탕춘대성2(홍지동 136-3)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재006 홍지문 탕춘대성3(홍지동 136-3)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재006 홍지문 탕춘대성4(홍지동 136-3)","37.5631","127.0367","1","2022-12-01"
